"package","target_kind","file","line","col","boundary_class","source_site_head","disposition","causal_identity_bearing","sensitive_or_unstable","activation_cohort","note"
"perl-core-harness","lib_or_bin_production","crates\perl-core-harness\src\lib.rs","1048","58","classification_only","let relative = candidate.strip_prefix(&root).map_err(|_| {","exact_exception","identity-retained","no","P1","path and root both embedded in eyre message; StripPrefixError payload-free"
"perl-corpus","lib_or_bin_production","crates\perl-corpus\src\api\topology.rs","373","59","retain_class_not_details","let relative = path.strip_prefix(&paths.root).map_err(|_| {","exact_exception","structurally-retained","no","P1","PathOutsideRoot{path,root} carries full identity; StripPrefixError payload-free"
"perl-corpus","lib_or_bin_production","crates\perl-corpus\src\sidecar\context.rs","255","26","independent_error_model_defect",".map_err(|_| anyhow::anyhow!('path is outside the bound corpus root'))?","file_leaf","detail-lost-vs-sibling","no","LEAF","generic message drops path/root; topology.rs sibling keeps them"
"perl-dap","lib_or_bin_production","crates\perl-dap\src\mutation\structured_value.rs","312","18","classification_only",".map_err(|_| StructuredRefusal::InvalidSyntax { offset: 0 })?;","exact_exception","impossible-by-construction","no","P1","serde round-trip of already-parsed value; offset 0 sentinel documented"
"perl-dap","lib_or_bin_production","crates\perl-dap\src\mutation\structured_value.rs","437","38","retain_class_not_details",".map_err(|_| StructuredRefusal::InvalidSyntax { offset: self.pos })?;","exact_exception","offset-retained-byte-kind-dropped","client_bytes","P1","DAP trust boundary: offset exposed, invalid byte withheld"
"perl-dap","lib_or_bin_production","crates\perl-dap\src\mutation\structured_value.rs","597","22","retain_class_not_details",".map_err(|_| StructuredRefusal::InvalidSyntax { offset: start })?;","exact_exception","offset-retained-byte-kind-dropped","client_bytes","P1","DAP trust boundary"
"perl-lsp-rs-core","build_script","crates\perl-lsp-rs-core\build.rs","23","9","classification_only","|_| 'OUT_DIR must be set by cargo during build - this is a build-time requirement',","exact_exception","none-env-contract","no","P1","OUT_DIR absence is a cargo contract violation, no cause object"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\document_version.rs","218","69","retain_class_not_details","i32::try_from(i).map(ClientDocumentVersion).map_err(|_| {","exact_exception","richer-typed-than-source","no","P1","maps value itself into Signedness+IntegerRangeClass; superset of TryFromIntError"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\errors.rs","294","41","stable_protocol_mapping","u32::try_from(line_u64).map_err(|_| invalid_params('position.line exceeds u32::MAX'))?;","exact_exception","class-only-static-message","protocol_stability","P1","JsonRpcError INVALID_PARAMS carries static semantic cause; TryFromIntError payload-free"
"perl-lsp-rs-core","lib_or_bin_production","crates\perl-lsp-rs-core\src\protocol\errors.rs","300","18","stable_protocol_mapping",".map_err(|_| invalid_params('position.character exceeds u32::MAX'))?;","exact_exception","class-only-static-message","protocol_stability","P1","JsonRpcError INVALID_PARAMS carries static semantic cause; TryFromIntError payload-free"
