# schema: workspace_runtime_ownership.v1
# columns: id|current_state|disposition|proposition|current_owner|identity|publication|cleanup|blocking_work_reachable|target_issue|proof_family|source_path|source_marker
WRT-BOUNDARY-001|live|existing_non_root_owner|interpreter discovery reached from root lifecycle is environment work, not root-runtime currentness|initialize environment controller #8123|server session + accepted configuration/environment identity|typed environment availability may inform later readiness only|environment operation terminal, supersession, or shutdown|true|#10042|blocked interpreter probe cannot delay root lifecycle|crates/perl-lsp-rs/src/runtime/lifecycle/workspace.rs|pub(crate) fn check_perl_interpreter
WRT-CACHE-001|live|workspace_services_cutover|module scan cache is retained with root/configuration scope|LspServer module_scan_cache field / #8385|root + configuration generation + cache entry identity|cached module scan data is visible to current resolution consumers|TTL, root/configuration transition, or shutdown|true|#8385|same-relative-path multi-root isolation|crates/perl-lsp-rs/src/runtime/mod.rs|module_scan_cache:
WRT-CHECKPOINT-001|planned_not_on_main|hydration_checkpoint_namespace_cutover|bounded accepted-generation checkpoint worker is not live on current main|planned persistence worker #7890|durable checkpoint subject + live root/semantic generation|no current pointer or durability claim until #7890 lands|future command terminal, root detach, flush deadline, or shutdown|true|#10017|late old checkpoint cannot become current||
WRT-CONFIG-001|live|configuration_watcher_reload_cutover|local project configuration is loaded for each admitted root|configuration authority #6736|root + configuration generation|accepted process-free configuration is applied to current folder state|reconfiguration, root removal, or session shutdown|true|#10016|configuration A-to-B transition|crates/perl-lsp-rs/src/runtime/lifecycle/workspace.rs|pub(crate) fn load_and_apply_project_config
WRT-CONFIG-002|live|configuration_watcher_reload_cutover|workspace/configuration request is emitted for current folders|server-request authority #7007 + configuration #6736|server request ID + root set + configuration generation|pending request state is retained until terminal response|response, timeout, supersession, root removal, or shutdown|false|#10016|held request and superseded root|crates/perl-lsp-rs/src/runtime/workspace.rs|pub(crate) fn request_workspace_configuration_for_folders
WRT-CONFIG-003|live|configuration_watcher_reload_cutover|workspace/configuration response is applied only through its pending request|server-request authority #7007 + configuration #6736|server request ID + accepted root/configuration subject|current folder configuration is updated from the matched response|response terminal, timeout, supersession, or shutdown|false|#10016|late response after reconfigure/remove|crates/perl-lsp-rs/src/runtime/workspace.rs|pub(crate) fn handle_client_response
WRT-GEN-001|live|root_generation_core|one process/session root-runtime generation authority mints replacement identities|WorkspaceRuntimeController #10013|logical workspace + logical root + process/session generation|the current immutable root context is available to later integration leaves|replacement transition, explicit detach, or shutdown|false|#10013|old publication after replacement|crates/perl-workspace/src/workspace/runtime_generation/core.rs|pub struct WorkspaceRuntimeGeneration
WRT-GEN-002|live|root_generation_core|one centralized root publication-eligibility guard rejects stale and terminal work|WorkspaceRuntimeController #10013|root runtime generation + publication kind + operation identity|only the current non-terminal generation passes the root publication guard|replacement transition, explicit detach, or shutdown|false|#10013|late publication after detach|crates/perl-workspace/src/workspace/runtime_generation.rs|pub fn accept_publication
WRT-GEN-003|live|root_generation_core|root-scoped task registration and cancellation bind to one current generation|WorkspaceRuntimeController #10013|root runtime generation + task identity + cancellation handle|registered current tasks are observable and replacement/detach/shutdown cancels them|task terminal, replacement transition, explicit detach, or shutdown|false|#10013|root A task isolation from root B|crates/perl-workspace/src/workspace/runtime_generation.rs|pub fn register_root_task
WRT-HYDRATE-001|planned_not_on_main|hydration_checkpoint_namespace_cutover|snapshot candidate adoption is not live on current main|planned hydration authority #7454|durable snapshot subject + live root/config/trust/environment generation|no current adoption claim until #7454 lands|future candidate rejection, root removal, or shutdown|true|#10017|held adoption loses to open/current state||
WRT-INDEX-001|live|workspace_services_cutover|index execution captures the root-scoped resources it may publish|workspace/index owners #4746/#8038|root + workspace generation + index operation|index/readiness/progress results publish to the accepted workspace subject|index terminal, cancellation, root removal, or shutdown|true|#8385|held indexing publication|crates/perl-lsp-rs/src/runtime/workspace.rs|struct IndexingResources
WRT-INDEX-002|live|workspace_services_cutover|index admission serializes active and pending rescan state|current LspServer index task state / #8385|workspace generation + index operation|one active indexing slot may start work|slot release, cancellation, root transition, or shutdown|false|#8385|concurrent rescan admission|crates/perl-lsp-rs/src/runtime/workspace.rs|fn claim_indexing_slot
WRT-INDEX-003|live|workspace_services_cutover|index terminal releases the slot and observes pending rescan|current LspServer index task state / #8385|workspace generation + index operation|pending replacement work may be scheduled after terminal release|slot release, cancellation, root transition, or shutdown|false|#8385|held old index then replacement|crates/perl-lsp-rs/src/runtime/workspace.rs|fn release_indexing_slot
WRT-NAMESPACE-001|planned_not_on_main|hydration_checkpoint_namespace_cutover|generation-aware cache namespace ownership is not live on current main|planned cache authority #4910/#7931|logical root + live runtime generation + durable namespace generation|no current namespace-pointer claim until the owning work lands|future namespace detach, root removal, or shutdown|true|#10017|rapid remove/re-add same display URI||
WRT-PROOF-001|planned_not_on_main|proof_observation_closeout|composed root-runtime lifecycle receipt is not live on current main|planned exact-process closeout #10019|candidate + logical root + old/new runtime generations + operation identities|no composed lifecycle support claim until exact proof lands|receipt terminal with explicit instrument disposition|true|#10019|held operations across every subsystem||
WRT-READINESS-001|live|workspace_services_cutover|workspace readiness receipt is retained per workspace generation|readiness authorities #3099/#4241/#4308|workspace generation + readiness observation|current readiness is visible to providers/status surfaces|invalidating transition, root removal, or shutdown|false|#8385|early invalidation before cleanup|crates/perl-lsp-rs/src/runtime/mod.rs|workspace_readiness_receipt:
WRT-READINESS-002|live|proof_observation_closeout|provider access evaluates canonical index readiness policy|readiness authorities #3099/#4241/#4308|workspace generation + request operation|typed ready, partial, fallback, or refusal outcome reaches provider routing|request terminal or invalidating workspace transition|false|#10019|ready versus partial versus stale|crates/perl-lsp-rs/src/runtime/workspace.rs|fn check_index_readiness
WRT-RELOAD-001|planned_not_on_main|configuration_watcher_reload_cutover|typed reload sequencing and accepted replacement are not live on current main|planned reload coordinator #7893|root + configuration/trust generation + reload operation epoch|no production publication claim until #7893 lands|future operation cancellation, root removal, or shutdown|true|#10016|immediate invalidation then debounced rebuild||
WRT-RETIRE-001|live|retire_duplicate_or_dead|root-owned discovered Perl::Tidy profile state is a temporary product coupling|initialize environment/tool-role controller #8123|logical root + configuration/environment generation|compatibility adapter input is visible only under explicit product policy|root/configuration transition or session shutdown|true|#10042|native default independent of profile discovery|crates/perl-lsp-rs/src/runtime/mod.rs|discovered_perltidy_profile:
WRT-ROOT-001|live|workspace_services_cutover|workspace folder set is retained and replaced|LspServer workspace_folders field / #8385|logical workspace + workspace-set generation|workspace folder state becomes visible to root-scoped consumers|root removal, replacement, or session shutdown|false|#8385|multi-root add/remove/re-add|crates/perl-lsp-rs/src/runtime/mod.rs|workspace_folders:
WRT-ROOT-002|live|workspace_services_cutover|primary root path is retained separately from display URI|LspServer root_path field / #8385|logical root + workspace-set generation|root path becomes available to contained workspace operations|root replacement, removal, or session shutdown|false|#8385|same-display-URI replacement|crates/perl-lsp-rs/src/runtime/mod.rs|root_path:
WRT-ROOT-003|live|workspace_services_cutover|initialize root URI admission updates current root state|LspServer::set_root_uri / #8385|logical root + accepted initialization inputs|accepted root projection is visible to workspace composition|replacement root or session shutdown|true|#8385|root admission and replacement|crates/perl-lsp-rs/src/runtime/lifecycle/workspace.rs|pub(crate) fn set_root_uri
WRT-TASK-001|live|workspace_services_cutover|pending index task count tracks root-scoped execution lifetime|RuntimeServices controller #8388|application task + workspace generation|task settlement observations become available to lifecycle proof|task terminal, cancellation, root removal, or shutdown|false|#8385|root removal while indexing|crates/perl-lsp-rs/src/runtime/mod.rs|pending_index_task_count:
WRT-TASK-002|live|workspace_services_cutover|active indexing state is retained independently from pending rescan state|current LspServer index task state / RuntimeServices successor #10024|application task + accepted workspace subject|active scan state gates new indexing work|index task terminal, cancellation, root removal, or shutdown|false|#8385|active scan during root transition|crates/perl-lsp-rs/src/runtime/mod.rs|indexing_in_progress:
WRT-TASK-003|live|workspace_services_cutover|pending rescan state records replacement work while indexing is active|current LspServer index task state / RuntimeServices successor #10024|application task + accepted workspace subject + replacement request|pending rescan may schedule after the active slot settles|index handoff, cancellation, root removal, or shutdown|false|#8385|rescan request during active scan|crates/perl-lsp-rs/src/runtime/mod.rs|indexing_rescan_pending:
WRT-TASK-004|live|workspace_services_cutover|indexing transition lock serializes active-to-pending handoff|current LspServer index task state / RuntimeServices successor #10024|application task + accepted workspace subject + handoff operation|one handoff decides whether replacement indexing starts|handoff terminal, root removal, or shutdown|false|#8385|held handoff and replacement|crates/perl-lsp-rs/src/runtime/mod.rs|indexing_transition_lock:
WRT-WATCH-001|live|configuration_watcher_reload_cutover|file watcher registration is derived from current workspace folders|watcher adapter authority #7894/#7895|client session + root generation + registration ID|registration request is sent through the server-request path|unregister, root transition, disconnect, or shutdown|false|#10016|old registration callback|crates/perl-lsp-rs/src/runtime/lifecycle/watchers.rs|fn register_file_watchers_if_needed
WRT-WATCH-002|live|configuration_watcher_reload_cutover|watcher events are coalesced by the current debounce worker|current FileWatcherDebouncer / reload successor #7893|root generation + watcher operation epoch|one bounded batch reaches the current callback|batch terminal, worker shutdown, root transition, or application shutdown|true|#10016|atomic-save event storm|crates/perl-lsp-rs/src/runtime/file_watcher_debounce.rs|pub struct FileWatcherDebouncer
WRT-WATCH-003|live|configuration_watcher_reload_cutover|watcher worker shutdown flushes and clears pending URI state|current FileWatcherDebouncer / RuntimeServices successor #10024|application task + root generation|final bounded batch may be delivered before worker terminal|WatcherMsg::Shutdown and worker terminal|true|#10016|shutdown with queued callback|crates/perl-lsp-rs/src/runtime/file_watcher_debounce.rs|WatcherMsg::Shutdown
